DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3002224,Sammys On Third/GEB,,,Aramark,Corporation,4  Jersey ST,Boston,MA,02215,424258,+16175366683,0,0,Sammys On Third/GEBAramarkCorporation424258
3002225,Samuel Adams Boston Brewery,,"",Boston Beer Company LLC,Att: Accounts Payable,30   Germania ST,Jamaica Plain,MA,02130,341029,+16173685000,42.314191,-71.103518,Samuel Adams Boston BreweryBoston Beer Company LLCAtt: Accounts Payable341029
3002226,Samurai Express,,"",Andy Kuang Pres.,"",31   Saint James AVE,Boston,MA,02116,304225,+17813082385,42.35091,-71.07152,Samurai ExpressAndy Kuang Pres.304225
3002227,Santarpios Restaurant,,BETTANO TERRI,Host International,Attn: Licensing,1   Harborside DR,East Boston,MA,02128,155970,+16176346097,42.363408,-71.025698,Santarpios RestaurantHost InternationalAttn: Licensing155970
3002228,Santo Domingo Restaurant,,STAMATOS JAMES C TS,Cabrera Lajara,Juan C.,179   Washington ST,Dorchester,MA,02121,145965,+16172827788,0,0,Santo Domingo RestaurantCabrera LajaraJuan C.145965
3002229,Santo Domingo Restaurant,,,Jimenez Medina,Cristino,179   Washington ST,Boston,MA,02121,377791,+16172827788,0,0,Santo Domingo RestaurantJimenez MedinaCristino377791
3002230,Santouka,,ENGEL LUCY,Plenty USA Inc.,Jun Yoneda,66   Hereford ST,Boston,MA,02115,73018,+16173727221,42.34846,-71.08534,SantoukaPlenty USA Inc.Jun Yoneda73018
3002231,Sarku Japan,,MCCOY RICHARD,Japan,Sarku,417   Washington ST,Boston,MA,02108,157146,+19054145704,42.35583,-71.0604,Sarku JapanJapanSarku157146
3002232,Sauce Burgers- K12,,,Pappadopoulos,Spiro,80  Causeway ST,Boston,MA,02114,423633,+19177717773,0,0,Sauce Burgers- K12PappadopoulosSpiro423633
3002233,Saus Boston,,DE NORMANDIE PHILIP Y,Kropinicki,Tanya R.,31   Union ST,Boston,MA,02108,139291,+10000000000,42.36117,-71.05678,Saus BostonKropinickiTanya R.139291
3002234,Savenors BC,,,Aramark,Corporation,4  Jersey ST,Boston,MA,02215,424258,+16175366683,0,0,Savenors BCAramarkCorporation424258
3002235,Savenors RF,,JACK LYONS  MANAGER,Aramark,"",4  Jersey ST,Boston,MA,02215,156417,+19788573916,42.346723,-71.09868,Savenors RFAramark156417
3002236,Savin Bar And Kitchen,,DONOVAN ARTHUR J TS,Savin Restaurant L L C,"",112   Savin Hill AVE,Dorchester,MA,02125,123168,+16174367676,42.31168,-71.05351,Savin Bar And KitchenSavin Restaurant L L C123168
3002237,Savin Hill Yacht Club,,,Catherine Walsh,"",400   William T Morrissey BLVD,Dorchester,MA,02125,149917,+16178251108,42.30928,-71.044382,Savin Hill Yacht ClubCatherine Walsh149917
3002238,Savin Hill Yacht Club,,,Emanuel Vice Com.,Andrew J.,400   William T Morrissey BLVD,Dorchester,MA,02125,149917,+16178251108,42.30928,-71.044382,Savin Hill Yacht ClubEmanuel Vice Com.Andrew J.149917
3002239,Savvor Restaurant & Lounge,,CRAWFORD BUILDING LPS,Firmin,Francois,174   Lincoln ST,Boston,MA,02111,86078,+18572502165,42.350585,-71.058431,Savvor Restaurant & LoungeFirminFrancois86078
3002240,Scali Deli Cafe,,,Chehwan,Mary,147   Pearl ST,Boston,MA,02110,158265,+16175421965,42.35457,-71.053679,Scali Deli CafeChehwanMary158265
3002241,Scampo,,MASSACHUSETTS GENERAL HOSP,c/o Lyons Group,"",215   Charles ST,Boston,MA,02114,29141,+16175232727,42.361968,-71.070175,Scampoc/o Lyons Group29141
3002242,Scholars Restaurant,,FLATLEY THOMAS J,Leinster Group,"",23   School ST,Boston,MA,02108,123777,+16177423100,42.3577,-71.05896,Scholars RestaurantLeinster Group123777
3002243,Schraffts Center Cafe,,FLATLEY JOHN J TS,Unidine Corporation,Richard Scherkel  President,529   Main ST,Charlestown,MA,02129,88652,+16172422700,42.38451,-71.07193,Schraffts Center CafeUnidine CorporationRichard Scherkel  President88652
3002244,Scopa,,,Riccio,Cennaro,319   Hanover ST,Boston,MA,02113,155821,+16175435650,42.364038,-71.054008,ScopaRiccioCennaro155821
3002245,Scorpion Bar/ Grand Seaport Square,,,Kane Owner,Ed,23  Northern AVE,Boston,MA,02210,352651,+16173384343,0,0,Scorpion Bar/ Grand Seaport SquareKane OwnerEd352651
3002246,Seabiscuit,,GEORGE SILVA PRESIDENT,Platt,Andrew,256   Marginal ST,East Boston,MA,02128,156128,+16174185234,42.364227,-71.032549,SeabiscuitPlattAndrew156128
3002247,Seaport Hotel,,MASS PORT AUTHORITY,SEAPORT HOTEL LIMITED PARTNERSHIP,"",1  Seaport LN,Boston,MA,02210,124057,+16173855693,42.349316,-71.041743,Seaport HotelSEAPORT HOTEL LIMITED PARTNERSHIP124057
3002248,Sebastians Cafe,,"",Baloy,Eric,155   SEAPORT BL,South Boston/,MA,02127,0,+19788970660,42.363408,-71.025698,Sebastians CafeBaloyEric0
3002249,Sebastians Cafe,,BETTANO TERRI,Sebastians Cafe,Robert Watson,1   Harborside DR,East Boston,MA,02128,155970,+19788970660,42.363408,-71.025698,Sebastians CafeSebastians CafeRobert Watson155970
3002250,Sebastians Cafe,,ONE HUNDRED SUMMER STREET,The New Brand Sebastians L L C,"",100   Summer ST,Boston,MA,02110,131978,+19788970660,42.363408,-71.025698,Sebastians CafeThe New Brand Sebastians L L C131978
3002251,Sebastians Cafe,,"",The New Brand Sebastians L L C,"",1   Devonshire PL,Boston,MA,02110,164246,+19788970660,42.363408,-71.025698,Sebastians CafeThe New Brand Sebastians L L C164246
3002252,Sebastians Cafe,,"",The New Brand Sebastians L.L.C.,"",126   High ST,Boston,MA,02110,166215,+19788970660,42.363408,-71.025698,Sebastians CafeThe New Brand Sebastians L.L.C.166215
3002253,Select Oyster Bar,,DERGARABEDIAN RICHARD TS,Select Oyster LLC,Michael Serpa,50   Gloucester ST,Boston,MA,02115,64957,+16178186588,42.34862,-71.08407,Select Oyster BarSelect Oyster LLCMichael Serpa64957
3002254,Seoul,,,Boryung Inc.,HeeYoung Jang,156   Cambridge ST,Boston,MA,02114,157515,+10000000000,42.360978,-71.064668,SeoulBoryung Inc.HeeYoung Jang157515
3002255,Seoul,,,JINWON LEE PRES.,"",156   Cambridge ST,Boston,MA,02114,157515,+10000000000,42.360978,-71.064668,SeoulJINWON LEE PRES.157515
3002256,Seoul Jangteo,,,KF Global Inc,Okhee Lee,145  Brighton AVE,Allston,MA,02134,404390,+16172542775,0,0,Seoul JangteoKF Global IncOkhee Lee404390
3002257,Seoul Soulongtang,,COMMONWEALTH 1227-1245 LPS,K F Boston Inc.,"",1243   Commonwealth AVE,Allston,MA,02134,37130,+16175056771,42.35032,-71.13187,Seoul SoulongtangK F Boston Inc.37130
3002258,Seoul Tteokbokki,,"",KSTK Boston,Att: Accounts Payable,164  Harvard AVE,Allston,MA,02134,166105,+16172088029,42.351497,-71.131379,Seoul TteokbokkiKSTK BostonAtt: Accounts Payable166105
3002259,Seoul Tteokbokki,,HAE HYUNG AHN,Yeon Soon Kim,Sool Yeong W Kim,166   Harvard AVE,Allston,MA,02134,157061,+16172088029,42.351497,-71.131379,Seoul TteokbokkiYeon Soon KimSool Yeong W Kim157061
3002260,Serafina,,,Greenberg,Seth,237   Newbury ST,Boston,MA,02116,157460,+16172978897,42.349901,-71.082039,SerafinaGreenbergSeth157460
3002261,Servia,,,Mosakowski,William,126   State ST,Boston,MA,02109,357185,+16173601399,0,0,ServiaMosakowskiWilliam357185
3002262,"Seven's Ale House",,KILEY JOHN D TRST,KILEY,JOHN D,77   Charles ST,Boston,MA,02114,29190,+16175239074,42.35833,-71.07039,"Seven's Ale HouseKILEYJOHN D29190"
3002263,Shabu Maru,,,Huang,Jack,10   Huntington AVE,Boston,MA,02116,76236,+16172833838,42.348545,-71.077314,Shabu MaruHuangJack76236
