DimB_SK,DimL_SK,DimV_SK,ViolationLevel
3000009,2001784,100033,1
3000009,2001784,100074,1
3000009,2001784,100102,2
3000009,2001784,100107,1
3000009,2001784,100109,2
3000009,2001784,100128,1
3000009,2001784,100129,3
3000009,2001784,100130,1
3000009,2001784,100139,1
3000009,2001784,100143,1
3000009,2001784,100170,2
3000009,2001784,100178,2
3000009,2001784,100198,1
3000009,2001784,100199,1
3000009,2001784,100215,1
3000009,2001784,100243,1
3000009,2001784,100255,1
3000009,2001784,100260,1
3000009,2001784,100300,1
3000009,2001784,100312,1
3000009,2001784,100335,1
3000009,2001784,100341,1
3000009,2001784,100358,1
3000009,2001784,100361,1
3000009,2001784,100362,1
3000009,2001784,100372,1
3000009,2001784,100378,1
3000009,2001784,100406,1
3000009,2001784,100417,3
3000010,2001600,100000,0
3000010,2001600,100023,1
3000010,2001600,100033,1
3000010,2001600,100036,1
3000010,2001600,100037,1
3000010,2001600,100043,2
3000010,2001600,100044,1
3000010,2001600,100062,1
3000010,2001600,100084,2
3000010,2001600,100094,3
3000010,2001600,100100,1
3000010,2001600,100102,2
3000010,2001600,100129,3
3000010,2001600,100146,1
3000010,2001600,100163,3
3000010,2001600,100166,3
3000010,2001600,100168,2
3000010,2001600,100205,1
3000010,2001600,100226,2
3000010,2001600,100243,1
3000010,2001600,100306,1
3000010,2001600,100356,2
3000010,2001600,100358,1
3000010,2001600,100366,1
3000010,2001600,100372,1
3000010,2001600,100404,2
3000010,2001600,100421,3
3000011,2002468,100000,0
3000011,2002468,100300,1
3000012,2001559,100000,0
3000012,2001559,100009,1
3000012,2001559,100021,3
3000012,2001559,100023,1
3000012,2001559,100024,1
3000012,2001559,100033,1
3000012,2001559,100037,1
3000012,2001559,100042,1
3000012,2001559,100043,2
3000012,2001559,100046,1
3000012,2001559,100055,1
3000012,2001559,100064,1
3000012,2001559,100102,2
3000012,2001559,100130,1
3000012,2001559,100139,1
3000012,2001559,100143,1
3000012,2001559,100164,1
3000012,2001559,100166,3
3000012,2001559,100168,2
3000012,2001559,100207,1
3000012,2001559,100227,2
3000012,2001559,100228,2
3000012,2001559,100234,1
3000012,2001559,100256,2
3000012,2001559,100260,1
3000012,2001559,100306,1
3000012,2001559,100343,1
3000012,2001559,100349,1
3000012,2001559,100358,1
3000013,2001719,100000,0
3000013,2001719,100231,1
3000013,2001719,100300,1
3000013,2001719,100306,1
3000013,2001719,100381,1
3000014,2002251,100000,0
3000014,2002251,100358,1
3000014,2002251,100413,0
3000015,2000766,100000,0
3000015,2000766,100014,3
3000015,2000766,100017,1
3000015,2000766,100021,3
3000015,2000766,100023,1
3000015,2000766,100030,3
3000015,2000766,100032,1
3000015,2000766,100033,1
3000015,2000766,100036,1
3000015,2000766,100037,1
3000015,2000766,100038,1
3000015,2000766,100041,3
3000015,2000766,100042,1
3000015,2000766,100043,2
3000015,2000766,100044,1
3000015,2000766,100048,1
3000015,2000766,100051,1
3000015,2000766,100054,3
3000015,2000766,100055,1
3000015,2000766,100058,1
3000015,2000766,100064,1
3000015,2000766,100066,1
3000015,2000766,100075,1
3000015,2000766,100102,2
3000015,2000766,100139,1
3000015,2000766,100166,3
3000015,2000766,100206,2
3000015,2000766,100234,1
3000015,2000766,100255,1
